d1_1,d1_2,d1_3
556.289,95.004,2.904
560.104,95.004,3.011
559.425,94.839,3.078
555.111,94.835,3.27
553.343,94.84,3.35
549.168,94.848,3.371
540.989,94.858,3.386
539.391,94.912,3.353
533.998,94.956,3.235
527.217,94.977,3.057
522.753,94.955,2.877
519.248,94.923,2.794
516.102,94.864,2.82
513.655,94.851,2.962
510.279,94.884,3.067
508.272,94.852,3.049
508.132,94.821,3.076
503.089,94.8,3.189
499.244,94.798,3.307
500.992,94.824,3.414
502.41,94.837,3.403
501.821,94.804,3.432
501.591,94.808,3.481
501.691,94.834,3.51
501.092,94.833,3.521
501.611,94.837,3.554
500.073,94.867,3.578
498.655,94.895,3.569
498.355,94.936,3.498
498.745,94.932,3.388
497.876,94.93,3.359
498.355,94.95,3.344
498.175,94.912,3.347
496.208,94.893,3.36
498.345,94.914,3.397
497.237,94.918,3.415
498.046,94.928,3.385
497.666,94.925,3.369
498.245,94.894,3.376
497.846,94.883,3.47
497.806,94.898,3.496
498.395,94.904,3.484
497.936,94.897,3.485
497.986,94.915,3.472
497.796,94.902,3.424
498.265,94.912,3.429
498.125,94.929,3.455
498.415,94.937,3.385
498.775,94.938,3.389
498.745,94.93,3.401
497.796,94.936,3.434
497.736,94.919,3.401
498.255,94.908,3.44
497.556,94.896,3.455
497.806,94.885,3.495
497.976,94.907,3.508
498.425,94.944,3.459
498.465,94.958,3.395
498.585,94.952,3.36
498.235,94.965,3.34
498.635,94.981,3.304
500.952,94.969,3.246
502.01,94.956,3.299
502.52,94.937,3.348
501.321,94.937,3.359
502.16,94.937,3.359
502.18,94.95,3.354
501.681,94.952,3.333
502.779,94.972,3.301
501.611,94.936,3.316
502.2,94.918,3.363
501.401,94.908,3.44
502.36,94.909,3.464
501.731,94.918,3.459
502.25,94.936,3.432
502.6,94.965,3.403
502.33,94.978,3.342
502.35,94.971,3.301
501.811,94.97,3.267
502.06,94.948,3.237
502.17,94.959,3.278
501.91,94.97,3.235
503.059,94.989,3.183
501.99,94.967,3.162
501.96,94.964,3.185
501.761,94.97,3.171
502.37,94.989,3.182
502.899,94.999,3.176
503.189,94.987,3.185
501.191,94.986,3.156
501.491,94.994,3.157
502.959,95.01,3.163
501.681,94.989,3.148
501.741,94.969,3.151
501.841,94.964,3.217
501.421,94.97,3.253
501.481,94.98,3.264
502.679,94.98,3.253
501.97,94.986,3.257
501.92,94.974,3.266
501.851,94.974,3.313
501.781,94.98,3.318
502.04,94.975,3.327
502.28,94.976,3.328
501.251,94.947,3.354
501.701,94.923,3.408
502.04,94.925,3.449
501.91,94.935,3.487
500.842,94.933,3.493
497.017,94.922,3.54
497.736,94.946,3.539
497.306,94.946,3.501
497.906,94.96,3.496
497.676,94.955,3.463
498.026,94.947,3.459
497.157,94.945,3.478
498.295,94.953,3.514
498.225,94.95,3.485
497.536,94.954,3.492
498.016,94.962,3.472
497.906,94.998,3.388
498.595,95.009,3.311
498.265,95.008,3.284
499.434,95.032,3.241
499.154,95.028,3.179
498.036,95.029,3.171
499.014,95.014,3.107
498.815,95.024,3.099
497.806,95.019,3.11
498.185,95.013,3.109
497.616,94.998,3.138
498.095,94.991,3.182
497.906,94.988,3.24
497.516,94.971,3.302
497.556,94.96,3.325
498.295,94.971,3.342
498.026,94.962,3.372
498.445,94.949,3.418
497.716,94.952,3.469
498.395,94.944,3.47
497.057,94.943,3.463
497.796,94.95,3.452
498.385,94.967,3.44
498.195,94.949,3.424
497.736,94.919,3.463
497.946,94.913,3.531
497.806,94.919,3.562
497.506,94.945,3.521
498.135,94.951,3.479
498.225,94.951,3.485
497.816,94.942,3.501
497.776,94.944,3.492
498.036,94.954,3.485
497.546,94.961,3.449
498.695,94.974,3.42
497.936,94.972,3.362
499.084,94.985,3.29
498.345,94.99,3.286
498.295,95.006,3.278
499.034,95.025,3.234
498.964,95.022,3.208
498.335,95.035,3.212
498.455,95.049,3.179
498.066,95.062,3.13
498.135,95.057,3.086
497.756,95.055,3.127
497.936,95.049,3.165
496.987,95.045,3.223
498.765,95.048,3.234
498.006,95.04,3.234
497.137,95.045,3.264
497.576,95.056,3.226
498.834,95.042,3.186
498.665,95.041,3.255
497.786,95.032,3.263
496.947,95.037,3.281
498.125,95.047,3.302
497.396,95.046,3.305
498.265,95.038,3.308
498.345,95.058,3.333
498.165,95.031,3.357
498.285,95.03,3.354
498.135,95.035,3.382
498.375,95.032,3.362
498.235,95.021,3.377
498.026,95.017,3.401
498.775,95.017,3.392
498.105,95.02,3.401
498.016,95.034,3.426
498.075,95.012,3.401
498.984,95.032,3.363
498.375,95.014,3.331
498.195,95.013,3.334
499.903,95.032,3.347
502.23,95.045,3.327
502.34,95.06,3.325
502.719,95.074,3.301
502.37,95.089,3.249
502.62,95.099,3.165
502.55,95.09,3.105
502.969,95.093,3.075
502.739,95.079,3.078
501.99,95.076,3.102
502.23,95.063,3.115
501.611,95.037,3.144
501.99,95.041,3.176
503.019,95.045,3.168
501.571,95.076,3.167
501.87,95.079,3.102
501.551,95.066,3.08
502.17,95.056,3.121
502.48,95.033,3.206
501.711,95.05,3.224
501.541,95.061,3.2
501.831,95.062,3.171
502.1,95.062,3.179
501.511,95.013,3.194
502.05,95.012,3.281
502.6,95.021,3.296
501.731,95.024,3.279
502.14,95.034,3.273
502.23,95.03,3.281
502.21,95.039,3.264
503.019,95.029,3.267
501.391,95.032,3.269
502.28,95.043,3.273
502.15,95.045,3.243
502.729,95.03,3.252
502.18,95.031,3.269
502.829,95.044,3.244
502.25,95.037,3.205
502.14,95.032,3.214
501.9,95.032,3.205
502.09,95.02,3.263
502.789,95.045,3.244
502.3,95.03,3.194
502.19,95.017,3.232
502.749,95.026,3.229
502.24,95.015,3.214
501.781,95.011,3.292
501.641,95.023,3.281
502.27,95.013,3.267
502.35,95.021,3.281
502.62,95.042,3.246
502.35,95.061,3.183
502.03,95.092,3.105
502.6,95.116,3.031
502.59,95.124,2.91
502.809,95.132,2.867
498.954,95.118,2.811
497.666,95.111,2.727
497.856,95.094,2.712
497.846,95.07,2.751
496.677,95.05,2.829
497.287,95.049,2.88
497.456,95.052,2.866
499.074,95.06,2.922
502.03,95.039,2.941
502.44,95.05,2.986
501.821,95.046,2.999
502.02,95.036,2.99
501.491,95.048,3.034
502.28,95.043,3.031
502.41,95.043,3.06
501.731,95.037,3.061
501.361,95.04,3.09
501.761,95.042,3.11
502.07,95.05,3.099
501.601,95.043,3.116
502,95.025,3.095
501.761,95.02,3.125
501.471,95.03,3.113
501.511,95.043,3.122
501.431,95.036,3.115
501.791,95.048,3.134
501.781,95.045,3.11
502.25,95.051,3.084
502.829,95.049,3.083
501.801,95.057,3.066
502.35,95.054,3.035
502.52,95.066,2.996
501.841,95.082,2.962
502.699,95.087,2.941
501.691,95.097,2.942
502.39,95.107,2.866
499.663,95.109,2.861
498.215,95.105,2.809
496.967,95.086,2.8
498.006,95.071,2.813
501.681,95.08,2.811
502.55,95.09,2.84
502.4,95.082,2.806
502.04,95.071,2.814
502.15,95.083,2.898
502.46,95.07,2.889
502.759,95.041,2.904
501.261,95.026,2.979
501.201,95.034,2.994
501.861,95.029,3.008
501.441,95.007,3.051
500.802,94.983,3.095
498.365,94.975,3.235
496.548,94.983,3.263
498.016,94.976,3.295
497.137,94.974,3.308
496.737,94.981,3.301
495.069,94.973,3.321
493.801,94.963,3.353
494.33,94.973,3.398
494.65,94.977,3.379
494.7,94.995,3.35
495.139,94.987,3.308
495.109,94.967,3.327
498.375,94.98,3.328
502.57,94.998,3.365
503.219,94.994,3.35
502.729,95.011,3.363
502.699,95.031,3.318
501.601,95.044,3.244
502.47,95.058,3.243
502.46,95.059,3.18
503.528,95.047,3.118
501.89,95.048,3.066
502.909,95.045,3.047
502.39,95.059,3.026
502.54,95.08,2.99
502.25,95.077,2.938
502.47,95.064,2.892
502.29,95.062,2.832
502.21,95.053,2.858
502.969,95.061,2.863
501.97,95.054,2.84
502.709,95.029,2.867
501.861,95.037,2.864
502.23,95.016,2.909
501.062,95.016,2.933
502.23,95.008,2.942
502.33,95.001,2.985
502.14,94.999,2.997
502.07,94.988,3.018
502.19,94.988,3.051
